行标签,求和项:cpu,求和项:memory,求和项:cpu_requested,求和项:memory_requested,cpu,memory
prd-ng-base-service-od-aps1-a-v5,19600,75514960,12010,49007,0.612755102,0.664546045
prd-ng-base-service-od-aps1-b-v5,15680,60411968,9690,41530,0.617984694,0.703945284
prd-ng-elk-spot-aps1-v5,23520,139487304,18060,58160,0.767857143,0.426962442
prd-ng-general-od-aps1-v5,43120,166132912,33660,109734,0.780612245,0.676371796
prd-ng-general-spot-aps1-v5,47040,360423528,38220,124651,0.8125,0.354146203
prd-ng-iot-od-aps1-v3,15680,59961424,11840,44296,0.755102041,0.756471427
prd-ng-iot-od-aps1-v5,7840,30205984,2920,6788,0.37244898,0.230117052
prd-ng-relay-od-aps1-v5,19300,73138920,19100,64660,0.989637306,0.90528873
prd-ng-rtsp-od-aps1-v5,3860,14627784,3520,12676,0.911917098,0.887367765
prd-ng-sdn-od-aps1-v5,3860,14627784,2920,8644,0.756476684,0.605112572
prd-ng-system-od-aps1-v5,5790,21941676,3830,7493,0.66148532,0.349692157
prd-ng-tapocare-storage-od-aps1-v5,67550,540053920,65100,481670,0.96373057,0.913297843
prd-ng-videoSummary-spot-aps1-v5,7840,16330792,6920,12932,0.882653061,0.810883391
总计,280680,1572858956,227790,1022241,0.811564771,0.665523619
