行标签,求和项:cpu,求和项:memory,求和项:cpu_requested,求和项:memory_requested,cpu,memory
prd-ng-base-service-od-euw1-a-v5,23520,106850388,19660,88254,0.835884354,0.845781636
prd-ng-base-service-od-euw1-b-v5,7780,29730776,4880,17990,0.627249357,0.619619212
prd-ng-elk-spot-euw1-v5,27440,219347996,21320,66446,0.77696793,0.310195239
prd-ng-general-od-euw1-v5,54880,211441888,42240,135092,0.7696793,0.65424221
prd-ng-general-spot-euw1-v5,86240,656914556,74120,240676,0.859461967,0.375166331
prd-ng-iot-od-euw1-v3,43120,165323996,34760,140374,0.806122449,0.869462265
prd-ng-relay-od-euw1-v5,19300,73138920,19100,64660,0.989637306,0.90528873
prd-ng-rtsp-od-euw1-v5,3860,14627784,3520,12676,0.911917098,0.887367765
prd-ng-sdn-od-euw1-v5,3860,14627784,2920,8644,0.756476684,0.605112572
prd-ng-system-od-euw1-v5,19600,75514960,12070,30637,0.615816327,0.415444675
prd-ng-tapocare-storage-od-euw1-v5,102290,817795936,98580,729386,0.96373057,0.913297843
prd-ng-videoSummary-spot-euw1-v5,7840,13758508,6920,12932,0.882653061,0.962485758
总计,399730,2399073492,340090,1547767,0.85079929,0.660635622
