行标签,求和项:cpu,求和项:memory,求和项:cpu_requested,求和项:memory_requested,cpu,memory
prd-ng-base-service-od-use1-a-v5,11760,45308976,6580,35751,0.55952381,0.807986126
prd-ng-base-service-od-use1-b-v5,3860,14627784,2420,8068,0.626943005,0.564790402
prd-ng-elk-spot-use1-v5,7840,62785552,4420,22842,0.56377551,0.37254125
prd-ng-general-od-use1-v5,35280,135926928,27640,99370,0.783446712,0.748599865
prd-ng-general-spot-use1-v5,35280,282534984,30740,121962,0.871315193,0.442030527
prd-ng-iot-od-use1-v3,7840,30152744,5920,27268,0.755102041,0.926032868
prd-ng-relay-od-use1-v5,5790,21941676,5730,19398,0.989637306,0.90528873
prd-ng-rtsp-od-use1-v5,3860,14627784,3520,12676,0.911917098,0.887367765
prd-ng-sdn-od-use1-v5,3860,14627784,2920,8644,0.756476684,0.605112572
prd-ng-system-od-use1-v5,3860,14627784,3680,6040,0.953367876,0.42282276
prd-ng-tapocare-storage-od-use1-v5,30880,246881792,29760,220192,0.96373057,0.913297843
prd-ng-videoSummary-spot-use1-v5,7840,14055472,6920,12932,0.882653061,0.94215036
总计,157950,898099260,130250,595143,0.824628047,0.678573582
